Match Name,Match ID,Player ID,Player Username,Team Name,beatmap ID,Map Name,Mod Used,Star Rating,Score,Accuracy,Combo,Max Combo,Player Rank,Player PP,Player playcount,Aim Difficulty,Speed Difficulty,300s count,100s count,50s count,Miss Count
MRC: Qualifiers L14,103499229,8666950,DarkKarate,chocolate disco,2510762,Sakura no Uta,,6.33815,696848,98.43%,981,1299,1154,11247.6,127440,3.30298,2.69249,912,19,0,2
MRC: Qualifiers L14,103499229,2944449,Too Slow,chocolate disco,2510762,Sakura no Uta,,6.33815,541055,98.05%,690,1299,233,13947.3,187248,3.30298,2.69249,907,23,1,2
MRC: Qualifiers L14,103499229,7153533,onkar,chocolate disco,3650832,Youyoumu ~ Run or Dash,,6.44149,711937,98.70%,1147,1476,5199,8809.14,72755,3.05678,3.10891,1221,19,3,1
MRC: Qualifiers L14,103499229,2944449,Too Slow,chocolate disco,3650832,Youyoumu ~ Run or Dash,,6.44149,409819,96.22%,648,1476,233,13947.3,187248,3.05678,3.10891,1182,42,6,14
MRC: Qualifiers L14,103499229,8666950,DarkKarate,chocolate disco,3239350,Beast (Vorso Remix),,5.90475,935127,97.98%,1520,1532,1154,11247.6,127440,2.96287,2.67198,897,28,0,0
MRC: Qualifiers L14,103499229,2944449,Too Slow,chocolate disco,3239350,Beast (Vorso Remix),,5.90475,890004,96.54%,1502,1532,233,13947.3,187248,2.96287,2.67198,877,48,0,0
MRC: Qualifiers L14,103499229,8666950,DarkKarate,chocolate disco,3634861,Feel Good Inc.,,5.11464,777935,96.50%,1052,1169,1154,11247.6,127440,2.63009,2.22698,673,36,1,0
MRC: Qualifiers L14,103499229,2944449,Too Slow,chocolate disco,3634861,Feel Good Inc.,,5.11464,239920,87.42%,412,1169,233,13947.3,187248,2.63009,2.22698,581,113,12,4
MRC: Qualifiers L14,103499229,8666950,DarkKarate,chocolate disco,3193407,Negai no Hana,,5.8634,706743,96.54%,1153,1554,1154,11247.6,127440,2.93195,2.66612,960,48,0,3
MRC: Qualifiers L14,103499229,7153533,onkar,chocolate disco,3193407,Negai no Hana,,5.8634,566600,98.14%,629,1554,5199,8809.14,72755,2.93195,2.66612,983,27,1,0
MRC: Qualifiers L14,103499229,2944449,Too Slow,chocolate disco,125448,Pure Ruby,,5.84264,798198,97.16%,664,850,233,13947.3,187248,2.31266,3.13797,634,27,1,0
MRC: Qualifiers L14,103499229,7153533,onkar,chocolate disco,125448,Pure Ruby,,5.84264,859029,92.37%,850,850,5199,8809.14,72755,2.31266,3.13797,587,72,3,0
MRC: Qualifiers L14,103499229,2944449,Too Slow,chocolate disco,3604780,Hi wa Mata Noboru kara,,4.45258,1226582,99.01%,1209,1210,233,13947.3,187248,2.31829,1.89432,833,10,2,0
MRC: Qualifiers L14,103499229,7153533,onkar,chocolate disco,3604780,Hi wa Mata Noboru kara,,4.45258,895597,98.82%,973,1210,5199,8809.14,72755,2.31829,1.89432,830,15,0,0
MRC: Qualifiers L14,103499229,2944449,Too Slow,chocolate disco,1319822,Colors -sasakure.UK Futurelogic Remix-,,4.49929,830434,98.05%,1122,1478,233,13947.3,187248,1.98972,2.29224,923,20,5,1
MRC: Qualifiers L14,103499229,7153533,onkar,chocolate disco,1319822,Colors -sasakure.UK Futurelogic Remix-,,4.49929,593732,93.98%,777,1478,5199,8809.14,72755,1.98972,2.29224,864,82,3,0
MRC: Qualifiers L14,103499229,2944449,Too Slow,chocolate disco,3335524,EOS,,4.23177,765753,98.69%,449,823,233,13947.3,187248,1.79658,2.20561,489,7,1,1
MRC: Qualifiers L14,103499229,7153533,onkar,chocolate disco,3335524,EOS,,4.23177,1156281,98.49%,823,823,5199,8809.14,72755,1.79658,2.20561,487,10,1,0
MRC: Qualifiers L14,103499229,8666950,DarkKarate,chocolate disco,2279885,Hotohashiru,,5.65755,713522,99.54%,1090,1642,1154,11247.6,127440,2.89526,2.48388,1055,6,1,0
MRC: Qualifiers L14,103499229,7153533,onkar,chocolate disco,2279885,Hotohashiru,,5.65755,1006277,97.30%,1641,1642,5199,8809.14,72755,2.89526,2.48388,1019,43,0,0
MRC: Qualifiers L14,103499229,2944449,Too Slow,chocolate disco,2643263,LEMONS feat. kennedi,,4.58903,1047649,96.73%,701,701,233,13947.3,187248,2.46422,1.81649,504,26,0,0
MRC: Qualifiers L14,103499229,8666950,DarkKarate,chocolate disco,2643263,LEMONS feat. kennedi,,4.58903,1012758,98.87%,697,701,1154,11247.6,127440,2.46422,1.81649,521,9,0,0
MRC: Qualifiers L15,103517434,5033077,Zylice,Tax Evaders,2510762,Sakura no Uta,,6.33815,718089,97.93%,975,1299,80,15671.5,90209,3.30298,2.69249,905,26,0,2
MRC: Qualifiers L15,103517434,9653938,tateyama,Tax Evaders,2510762,Sakura no Uta,,6.33815,866177,98.46%,1222,1299,1251,11094.3,111419,3.30298,2.69249,913,17,0,3
MRC: Qualifiers L15,103517434,5033077,Zylice,Tax Evaders,3650832,Youyoumu ~ Run or Dash,,6.44149,950596,98.49%,1476,1476,80,15671.5,90209,3.05678,3.10891,1217,22,5,0
MRC: Qualifiers L15,103517434,9653938,tateyama,Tax Evaders,3650832,Youyoumu ~ Run or Dash,,6.44149,939317,98.58%,1465,1476,1251,11094.3,111419,3.05678,3.10891,1219,19,6,0
MRC: Qualifiers L15,103517434,5033077,Zylice,Tax Evaders,3239350,Beast (Vorso Remix),,5.90475,909069,97.17%,1513,1532,80,15671.5,90209,2.96287,2.67198,886,38,1,0
MRC: Qualifiers L15,103517434,9653938,tateyama,Tax Evaders,3239350,Beast (Vorso Remix),,5.90475,478892,95.69%,875,1532,1251,11094.3,111419,2.96287,2.67198,867,52,5,1
MRC: Qualifiers L15,103517434,5033077,Zylice,Tax Evaders,3634861,Feel Good Inc.,,5.11464,363190,94.88%,434,1169,80,15671.5,90209,2.63009,2.22698,659,40,8,3
MRC: Qualifiers L15,103517434,9653938,tateyama,Tax Evaders,3634861,Feel Good Inc.,,5.11464,104960,77.89%,240,1169,1251,11094.3,111419,2.63009,2.22698,488,182,26,14
MRC: Qualifiers L15,103517434,5033077,Zylice,Tax Evaders,3193407,Negai no Hana,,5.8634,1006205,95.17%,1553,1554,80,15671.5,90209,2.93195,2.66612,938,72,1,0
MRC: Qualifiers L15,103517434,9653938,tateyama,Tax Evaders,3193407,Negai no Hana,,5.8634,1041478,98.22%,1554,1554,1251,11094.3,111419,2.93195,2.66612,984,27,0,0
MRC: Qualifiers L15,103517434,5033077,Zylice,Tax Evaders,125448,Pure Ruby,,5.84264,537811,90.68%,571,850,80,15671.5,90209,2.31266,3.13797,571,87,2,2
MRC: Qualifiers L15,103517434,9653938,tateyama,Tax Evaders,125448,Pure Ruby,,5.84264,560779,96.02%,487,850,1251,11094.3,111419,2.31266,3.13797,624,35,0,3
MRC: Qualifiers L15,103517434,5033077,Zylice,Tax Evaders,3604780,Hi wa Mata Noboru kara,,4.45258,829135,97.81%,863,1210,80,15671.5,90209,2.31829,1.89432,818,24,3,0
MRC: Qualifiers L15,103517434,9653938,tateyama,Tax Evaders,3604780,Hi wa Mata Noboru kara,,4.45258,835369,99.41%,853,1210,1251,11094.3,111419,2.31829,1.89432,838,6,0,1
MRC: Qualifiers L15,103517434,5033077,Zylice,Tax Evaders,1319822,Colors -sasakure.UK Futurelogic Remix-,,4.49929,1102121,97.33%,1419,1478,80,15671.5,90209,1.98972,2.29224,912,34,2,1
MRC: Qualifiers L15,103517434,9653938,tateyama,Tax Evaders,1319822,Colors -sasakure.UK Futurelogic Remix-,,4.49929,1141689,98.51%,1476,1478,1251,11094.3,111419,1.98972,2.29224,928,20,1,0
MRC: Qualifiers L15,103517434,5033077,Zylice,Tax Evaders,3335524,EOS,,4.23177,1221260,98.26%,823,823,80,15671.5,90209,1.79658,2.20561,485,13,0,0
